139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /plugin/webs_model_cfg.js HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /indice.jhtml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /Main_Login.asp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /cgi-bin/luci HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /default.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /status HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /photo/webapi/query.php?api=SYNO.API.Info&method=query&version=1 HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /json/login_session HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /hx/api/about HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /localstart.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:33 +0000] "GET /rs/application-about HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /nidp/app/login HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /localstart.jhtml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /index.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /metrics HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /about HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /admin.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /versa/login HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /main/main.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /ui/login.action HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /am_bin/amlogin HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /default.asp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /login HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /api/v1/info HTTP/1.1" 404 202 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:34 +0000] "GET /core/auth/login/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:35 +0000] "GET /admin/config.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:35 +0000] "GET /home.cfm HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:45 +0000] "GET / HTTP/1.0" 200 625 "-" "-"
139.144.52.241 - - [10/Nov/2025:04:42:45 +0000] "GET / HTTP/1.1" 200 625 "-" "-"
167.99.91.38 - - [10/Nov/2025:04:46:30 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
205.210.31.203 - - [10/Nov/2025:05:16:15 +0000] "GET / HTTP/1.0" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
167.94.138.201 - - [10/Nov/2025:05:30:27 +0000] "GET /.well-known/security.txt HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [10/Nov/2025:08:29:10 +0000] "POST /api/auth/refresh HTTP/1.1" 200 410 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:10 +0000] "GET /api/documents/main-doc-types?isActive=true HTTP/1.1" 200 297 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:10 +0000] "GET /api/secure/personnel HTTP/1.1" 200 983 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/secure/getWorkAreas?isActive=true&limit=50&offset=0 HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/getCountries?sortBy=name&sortOrder=asc&limit=500 HTTP/1.1" 200 10035 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/getCities?sortBy=name&sortOrder=asc&limit=100 HTTP/1.1" 200 2403 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/secure/getPersonnelPositions?limit=50&offset=0 HTTP/1.1" 200 415 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/secure/projects?status=active&active=true&limit=100 HTTP/1.1" 200 583 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/documents/types/1?isActive=true HTTP/1.1" 200 2001 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:29:11 +0000] "GET /api/secure/personnel HTTP/1.1" 200 983 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:32 +0000] "POST /api/auth/refresh HTTP/1.1" 200 410 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:32 +0000] "GET /api/documents/main-doc-types?isActive=true HTTP/1.1" 200 297 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/secure/getWorkAreas?isActive=true&limit=50&offset=0 HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/getCities?sortBy=name&sortOrder=asc&limit=100 HTTP/1.1" 200 2403 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/getCountries?sortBy=name&sortOrder=asc&limit=500 HTTP/1.1" 200 10035 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/secure/personnel HTTP/1.1" 200 983 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/secure/getPersonnelPositions?limit=50&offset=0 HTTP/1.1" 200 415 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/secure/projects?status=active&active=true&limit=100 HTTP/1.1" 200 583 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/documents/types/1?isActive=true HTTP/1.1" 200 2001 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:30:33 +0000] "GET /api/secure/personnel HTTP/1.1" 200 983 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:34:56 +0000] "GET /api/secure/personnel-work-history/27?includeActive=true&limit=100 HTTP/1.1" 500 121 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:44:06 +0000] "GET /api/secure/personnel-work-history/27?includeActive=true&limit=100 HTTP/1.1" 500 121 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:44:29 +0000] "GET /api/secure/personnel-work-history/31?includeActive=true&limit=100 HTTP/1.1" 500 121 "-" "node"
127.0.0.1 - - [10/Nov/2025:08:44:56 +0000] "GET /api/secure/personnel-work-history/31?includeActive=true&limit=100 HTTP/1.1" 500 121 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:34 +0000] "GET /api/secure/personnel-work-history/31?includeActive=true&limit=100 HTTP/1.1" 403 100 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:43 +0000] "POST /api/auth/logout HTTP/1.1" 403 97 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:43 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 403 97 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:43 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 403 100 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:43 +0000] "GET /api/secure/personnel HTTP/1.1" 403 100 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:52 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:52 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:53 +0000] "GET /api/secure/personnel HTTP/1.1" 200 983 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:53 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:53 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:53 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:55 +0000] "GET /api/documents/main-doc-types?isActive=true HTTP/1.1" 200 297 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:03:55 +0000] "GET /api/documents/types/1?isActive=true HTTP/1.1" 200 2001 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:04:00 +0000] "GET /api/secure/personnel-work-history/27?includeActive=true&limit=100 HTTP/1.1" 200 1709 "-" "node"
127.0.0.1 - - [10/Nov/2025:09:04:10 +0000] "GET /api/secure/personnel-work-history/31?includeActive=true&limit=100 HTTP/1.1" 200 1716 "-" "node"
